0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
,,,,,,,,,,,,,,
,,,,,,,,,,,,Page,Page,Page
(a),(a),(a),1.0,1.0,1.0,,,,Financial Statements,Financial Statements,Financial Statements,,,
,,,,,,,,,,,,,,
,,,,,,,,,Report of Independent Registered Public Accounting Firm (PCAOB ID: 238),Report of Independent Registered Public Accounting Firm (PCAOB ID: 238),Report of Independent Registered Public Accounting Firm (PCAOB ID: 238),45,45,45
,,,,,,,,,,,,,,
,,,,,,,,,"Consolidated Statements of Income for the years ended January 30, 2022, January 31, 2021, and January 26, 2020","Consolidated Statements of Income for the years ended January 30, 2022, January 31, 2021, and January 26, 2020","Consolidated Statements of Income for the years ended January 30, 2022, January 31, 2021, and January 26, 2020",47,47,47
,,,,,,,,,,,,,,
,,,,,,,,,"Consolidated Statements of Comprehensive Income for the years ended January 30, 2022, January 31, 2021, and January 26, 2020","Consolidated Statements of Comprehensive Income for the years ended January 30, 2022, January 31, 2021, and January 26, 2020","Consolidated Statements of Comprehensive Income for the years ended January 30, 2022, January 31, 2021, and January 26, 2020",48,48,48
,,,,,,,,,,,,,,
,,,,,,,,,"Consolidated Balance Sheets as of January 30, 2022 and January 31, 2021","Consolidated Balance Sheets as of January 30, 2022 and January 31, 2021","Consolidated Balance Sheets as of January 30, 2022 and January 31, 2021",49,49,49
,,,,,,,,,,,,,,
,,,,,,,,,"Consolidated Statements of Shareholders’ Equity for the years ended January 30, 2022, January 31, 2021, and January 26, 2020","Consolidated Statements of Shareholders’ Equity for the years ended January 30, 2022, January 31, 2021, and January 26, 2020","Consolidated Statements of Shareholders’ Equity for the years ended January 30, 2022, January 31, 2021, and January 26, 2020",50,50,50
,,,,,,,,,,,,,,
,,,,,,,,,"Consolidated Statements of Cash Flows for the years ended January 30, 2022, January 31, 2021, and January 26, 2020","Consolidated Statements of Cash Flows for the years ended January 30, 2022, January 31, 2021, and January 26, 2020","Consolidated Statements of Cash Flows for the years ended January 30, 2022, January 31, 2021, and January 26, 2020",51,51,51
,,,,,,,,,,,,,,
,,,,,,,,,Notes to the Consolidated Financial Statements,Notes to the Consolidated Financial Statements,Notes to the Consolidated Financial Statements,52,52,52
,,,,,,,,,,,,,,
,,,2.0,2.0,2.0,,,,Financial Statement Schedule,Financial Statement Schedule,Financial Statement Schedule,,,
,,,,,,,,,,,,,,
,,,,,,,,,"Schedule II Valuation and Qualifying Accounts for the years ended January 30, 2022, January 31, 2021, and January 26, 2020","Schedule II Valuation and Qualifying Accounts for the years ended January 30, 2022, January 31, 2021, and January 26, 2020","Schedule II Valuation and Qualifying Accounts for the years ended January 30, 2022, January 31, 2021, and January 26, 2020",80,80,80
,,,,,,,,,,,,,,
,,,3.0,3.0,3.0,,,,Exhibits,Exhibits,Exhibits,,,
,,,,,,,,,,,,,,
,,,,,,,,,The exhibits listed in the accompanying index to exhibits are filed or incorporated by reference as a part of this Annual Report on Form 10-K.,The exhibits listed in the accompanying index to exhibits are filed or incorporated by reference as a part of this Annual Report on Form 10-K.,The exhibits listed in the accompanying index to exhibits are filed or incorporated by reference as a part of this Annual Report on Form 10-K.,81,81,81
