0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
,,,,,,,,,,,,,,
,,,,,,,,,,,,Page,Page,Page
(a),(a),(a),1.0,1.0,1.0,,,,Financial Statements,Financial Statements,Financial Statements,,,
,,,,,,,,,,,,,,
,,,,,,,,,Report of Independent Registered Public Accounting Firm,Report of Independent Registered Public Accounting Firm,Report of Independent Registered Public Accounting Firm,44,44,44
,,,,,,,,,,,,,,
,,,,,,,,,"Consolidated Statements of Income for the years ended January 31, 2021, January 26, 2020, and January 27, 2019","Consolidated Statements of Income for the years ended January 31, 2021, January 26, 2020, and January 27, 2019","Consolidated Statements of Income for the years ended January 31, 2021, January 26, 2020, and January 27, 2019",47,47,47
,,,,,,,,,,,,,,
,,,,,,,,,"Consolidated Statements of Comprehensive Income for the years ended January 31, 2021, January 26, 2020, and January 27, 2019","Consolidated Statements of Comprehensive Income for the years ended January 31, 2021, January 26, 2020, and January 27, 2019","Consolidated Statements of Comprehensive Income for the years ended January 31, 2021, January 26, 2020, and January 27, 2019",48,48,48
,,,,,,,,,,,,,,
,,,,,,,,,"Consolidated Balance Sheets as of January 31, 2021 and January 26, 2020","Consolidated Balance Sheets as of January 31, 2021 and January 26, 2020","Consolidated Balance Sheets as of January 31, 2021 and January 26, 2020",49,49,49
,,,,,,,,,,,,,,
,,,,,,,,,"Consolidated Statements of Shareholders’ Equity for the years ended January 31, 2021, January 26, 2020, and January 27, 2019","Consolidated Statements of Shareholders’ Equity for the years ended January 31, 2021, January 26, 2020, and January 27, 2019","Consolidated Statements of Shareholders’ Equity for the years ended January 31, 2021, January 26, 2020, and January 27, 2019",50,50,50
,,,,,,,,,,,,,,
,,,,,,,,,"Consolidated Statements of Cash Flows for the years ended January 31, 2021, January 26, 2020, and January 27, 2019","Consolidated Statements of Cash Flows for the years ended January 31, 2021, January 26, 2020, and January 27, 2019","Consolidated Statements of Cash Flows for the years ended January 31, 2021, January 26, 2020, and January 27, 2019",51,51,51
,,,,,,,,,,,,,,
,,,,,,,,,Notes to the Consolidated Financial Statements,Notes to the Consolidated Financial Statements,Notes to the Consolidated Financial Statements,52,52,52
,,,,,,,,,,,,,,
,,,2.0,2.0,2.0,,,,Financial Statement Schedule,Financial Statement Schedule,Financial Statement Schedule,,,
,,,,,,,,,,,,,,
,,,,,,,,,"Schedule II Valuation and Qualifying Accounts for the years ended January 31, 2021, January 26, 2020, and January 27, 2019","Schedule II Valuation and Qualifying Accounts for the years ended January 31, 2021, January 26, 2020, and January 27, 2019","Schedule II Valuation and Qualifying Accounts for the years ended January 31, 2021, January 26, 2020, and January 27, 2019",78,78,78
,,,,,,,,,,,,,,
,,,3.0,3.0,3.0,,,,Exhibits,Exhibits,Exhibits,,,
,,,,,,,,,,,,,,
,,,,,,,,,The exhibits listed in the accompanying index to exhibits are filed or incorporated by reference as a part of this Annual Report on Form 10-K.,The exhibits listed in the accompanying index to exhibits are filed or incorporated by reference as a part of this Annual Report on Form 10-K.,The exhibits listed in the accompanying index to exhibits are filed or incorporated by reference as a part of this Annual Report on Form 10-K.,79,79,79
