0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
,,,,,,,,,,,,,,
,,,,,,,,,,,,Page,Page,Page
(a),(a),(a),1.0,1.0,1.0,,,,Financial Statements,Financial Statements,Financial Statements,,,
,,,,,,,,,,,,,,
,,,,,,,,,Report of Independent Registered Public Accounting Firm (PCAOB ID: 238),Report of Independent Registered Public Accounting Firm (PCAOB ID: 238),Report of Independent Registered Public Accounting Firm (PCAOB ID: 238),52,52,52
,,,,,,,,,,,,,,
,,,,,,,,,"Consolidated Statements of Income for the years ended January 29, 2023, January 30, 2022, and January 31, 2021","Consolidated Statements of Income for the years ended January 29, 2023, January 30, 2022, and January 31, 2021","Consolidated Statements of Income for the years ended January 29, 2023, January 30, 2022, and January 31, 2021",54,54,54
,,,,,,,,,,,,,,
,,,,,,,,,"Consolidated Statements of Comprehensive Income for the years ended January 29, 2023, January 30, 2022, and January 31, 2021","Consolidated Statements of Comprehensive Income for the years ended January 29, 2023, January 30, 2022, and January 31, 2021","Consolidated Statements of Comprehensive Income for the years ended January 29, 2023, January 30, 2022, and January 31, 2021",55,55,55
,,,,,,,,,,,,,,
,,,,,,,,,"Consolidated Balance Sheets as of January 29, 2023 and January 30, 2022","Consolidated Balance Sheets as of January 29, 2023 and January 30, 2022","Consolidated Balance Sheets as of January 29, 2023 and January 30, 2022",56,56,56
,,,,,,,,,,,,,,
,,,,,,,,,"Consolidated Statements of Shareholders’ Equity for the years ended January 29, 2023, January 30, 2022, and January 31, 2021","Consolidated Statements of Shareholders’ Equity for the years ended January 29, 2023, January 30, 2022, and January 31, 2021","Consolidated Statements of Shareholders’ Equity for the years ended January 29, 2023, January 30, 2022, and January 31, 2021",57,57,57
,,,,,,,,,,,,,,
,,,,,,,,,"Consolidated Statements of Cash Flows for the years ended January 29, 2023, January 30, 2022, and January 31, 2021","Consolidated Statements of Cash Flows for the years ended January 29, 2023, January 30, 2022, and January 31, 2021","Consolidated Statements of Cash Flows for the years ended January 29, 2023, January 30, 2022, and January 31, 2021",58,58,58
,,,,,,,,,,,,,,
,,,,,,,,,Notes to the Consolidated Financial Statements,Notes to the Consolidated Financial Statements,Notes to the Consolidated Financial Statements,59,59,59
,,,,,,,,,,,,,,
,,,2.0,2.0,2.0,,,,Financial Statement Schedule,Financial Statement Schedule,Financial Statement Schedule,,,
,,,,,,,,,,,,,,
,,,,,,,,,"Schedule II Valuation and Qualifying Accounts for the years ended January 29, 2023, January 30, 2022, and January 31, 2021","Schedule II Valuation and Qualifying Accounts for the years ended January 29, 2023, January 30, 2022, and January 31, 2021","Schedule II Valuation and Qualifying Accounts for the years ended January 29, 2023, January 30, 2022, and January 31, 2021",87,87,87
,,,,,,,,,,,,,,
,,,3.0,3.0,3.0,,,,Exhibits,Exhibits,Exhibits,,,
,,,,,,,,,,,,,,
,,,,,,,,,The exhibits listed in the accompanying index to exhibits are filed or incorporated by reference as a part of this Annual Report on Form 10-K.,The exhibits listed in the accompanying index to exhibits are filed or incorporated by reference as a part of this Annual Report on Form 10-K.,The exhibits listed in the accompanying index to exhibits are filed or incorporated by reference as a part of this Annual Report on Form 10-K.,88,88,88
